intervall;events
1;715
2;680
3;638
4;526
5;516
6;432
7;401
8;378
9;305
10;288
11;243
12;229
13;201
14;178
15;177
16;172
17;124
18;145
19;125
20;139
21;93
22;89
23;97
24;80
25;105
26;110
27;75
28;72
29;74
30;79
31;65
32;53
33;63
34;62
35;49
36;60
37;48
38;52
39;38
40;64
41;56
42;48
43;40
44;40
45;42
46;47
47;54
48;45
49;46
50;41
51;45
52;38
53;46
54;39
55;33
56;32
57;45
58;29
59;39
60;27
61;31
62;38
63;34
64;33
65;21
66;33
67;30
68;30
69;34
70;33
71;32
72;29
73;28
74;24
75;26
76;32
77;27
78;21
79;26
80;19
81;26
82;15
83;23
84;20
85;20
86;21
87;11
88;16
89;13
90;15
91;10
92;20
93;18
94;14
95;9
96;12
97;14
98;12
99;10
100;14
101;12
102;8
103;14
104;14
105;16
106;15
107;12
108;12
109;11
110;9
111;18
112;10
113;14
114;4
115;13
116;11
117;8
118;9
119;14
120;10
